loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
15,1.0, Not Graduate, No,1900000.0,7400000.0,6.0,469.0,1900000.0,1200000.0,5900000.0,1900000.0, Rejected
16,5.0, Not Graduate, No,4700000.0,10700000.0,10.0,794.0,5700000.0,3900000.0,16400000.0,4400000.0, Approved
17,2.0, Graduate, Yes,500000.0,1600000.0,4.0,663.0,1300000.0,100000.0,1300000.0,700000.0, Approved
18,4.0, Not Graduate, Yes,2900000.0,9400000.0,14.0,780.0,2900000.0,2800000.0,6700000.0,4300000.0, Approved
19,2.0, Graduate, No,2700000.0,10300000.0,10.0,736.0,1000000.0,0.0,6200000.0,3300000.0, Approved
20,5.0, Graduate, No,6300000.0,14600000.0,12.0,652.0,10300000.0,3500000.0,23500000.0,5900000.0, Approved
21,2.0, Graduate, No,5000000.0,19400000.0,12.0,315.0,9500000.0,1600000.0,18000000.0,6100000.0, Rejected
22,4.0, Graduate, No,5800000.0,14000000.0,16.0,530.0,3800000.0,11300000.0,22200000.0,5400000.0, Rejected
23,4.0, Graduate, Yes,6500000.0,25700000.0,18.0,311.0,13100000.0,1700000.0,19500000.0,8500000.0, Rejected
24,0.0, Not Graduate, Yes,500000.0,1400000.0,2.0,551.0,900000.0,600000.0,1100000.0,300000.0, Approved
25,0.0, Not Graduate, No,4900000.0,9800000.0,16.0,324.0,3800000.0,8700000.0,10000000.0,3300000.0, Rejected
26,5.0, Not Graduate, No,3100000.0,9500000.0,20.0,514.0,7900000.0,3100000.0,6600000.0,2600000.0, Rejected
27,4.0, Graduate, No,8200000.0,28100000.0,12.0,696.0,11500000.0,10600000.0,25300000.0,7200000.0, Approved
28,4.0, Not Graduate, Yes,2400000.0,5600000.0,4.0,662.0,4500000.0,4200000.0,5400000.0,2500000.0, Approved
29,5.0, Not Graduate, Yes,7000000.0,24000000.0,6.0,336.0,2300000.0,11900000.0,27500000.0,9700000.0, Rejected
30,3.0, Not Graduate, Yes,9000000.0,31500000.0,10.0,850.0,21800000.0,12400000.0,33700000.0,8000000.0, Approved
31,2.0, Not Graduate, No,9800000.0,25300000.0,12.0,313.0,20200000.0,5200000.0,25500000.0,9300000.0, Rejected
32,2.0, Graduate, No,5700000.0,12000000.0,6.0,363.0,3600000.0,7400000.0,21700000.0,4300000.0, Rejected
33,1.0, Not Graduate, Yes,800000.0,1600000.0,10.0,436.0,700000.0,200000.0,2200000.0,1000000.0, Rejected
34,5.0, Not Graduate, Yes,8400000.0,22000000.0,2.0,830.0,3800000.0,3900000.0,19900000.0,5400000.0, Approved
35,3.0, Graduate, No,4900000.0,11900000.0,8.0,612.0,9700000.0,1200000.0,19000000.0,5800000.0, Approved
36,2.0, Graduate, Yes,1700000.0,3400000.0,8.0,691.0,2700000.0,2800000.0,6000000.0,900000.0, Approved
37,3.0, Not Graduate, No,1600000.0,6200000.0,18.0,636.0,3400000.0,700000.0,5300000.0,1400000.0, Approved
38,5.0, Graduate, Yes,8000000.0,27200000.0,6.0,348.0,6400000.0,300000.0,16700000.0,7100000.0, Rejected
39,5.0, Graduate, No,3600000.0,7700000.0,16.0,830.0,7000000.0,1300000.0,10000000.0,2900000.0, Approved
40,3.0, Not Graduate, Yes,1500000.0,5100000.0,6.0,352.0,100000.0,200000.0,5600000.0,900000.0, Rejected
41,1.0, Graduate, No,7800000.0,18100000.0,2.0,712.0,8600000.0,11200000.0,21700000.0,9000000.0, Approved
42,2.0, Not Graduate, No,9100000.0,24900000.0,16.0,822.0,22300000.0,12100000.0,31000000.0,5200000.0, Approved
43,3.0, Graduate, No,1400000.0,3400000.0,6.0,540.0,200000.0,1500000.0,3900000.0,800000.0, Rejected
44,2.0, Graduate, Yes,800000.0,2300000.0,12.0,342.0,2200000.0,1300000.0,1800000.0,800000.0, Rejected
45,5.0, Graduate, No,6500000.0,13400000.0,18.0,787.0,18200000.0,300000.0,16200000.0,5400000.0, Approved
46,4.0, Graduate, No,8000000.0,27800000.0,16.0,331.0,13000000.0,6300000.0,21400000.0,10900000.0, Rejected
47,3.0, Not Graduate, Yes,4200000.0,14600000.0,6.0,679.0,2400000.0,6900000.0,8700000.0,4900000.0, Approved
48,1.0, Graduate, Yes,4900000.0,19100000.0,14.0,677.0,5400000.0,9100000.0,17700000.0,6500000.0, Approved
49,3.0, Not Graduate, No,5500000.0,20500000.0,12.0,634.0,800000.0,8600000.0,18500000.0,8200000.0, Approved
50,1.0, Not Graduate, Yes,9500000.0,19100000.0,16.0,662.0,100000.0,10500000.0,37700000.0,11700000.0, Approved
51,4.0, Graduate, No,7300000.0,25400000.0,16.0,502.0,500000.0,1800000.0,20500000.0,10500000.0, Rejected
52,2.0, Graduate, No,8700000.0,24700000.0,10.0,435.0,6800000.0,3500000.0,21800000.0,11300000.0, Rejected
53,5.0, Not Graduate, No,3800000.0,7600000.0,4.0,689.0,8700000.0,100000.0,9300000.0,3400000.0, Approved
54,1.0, Not Graduate, Yes,8400000.0,23000000.0,12.0,657.0,15400000.0,14800000.0,31900000.0,8200000.0, Approved
55,2.0, Graduate, Yes,5100000.0,19700000.0,20.0,590.0,7400000.0,9300000.0,19400000.0,3400000.0, Approved
56,5.0, Not Graduate, No,6700000.0,24500000.0,12.0,818.0,1200000.0,5600000.0,16300000.0,6200000.0, Approved
57,2.0, Not Graduate, No,4300000.0,10600000.0,18.0,431.0,2100000.0,1500000.0,9300000.0,5200000.0, Rejected
58,5.0, Graduate, Yes,9300000.0,30500000.0,18.0,841.0,19300000.0,10300000.0,34600000.0,8700000.0, Approved
59,1.0, Graduate, No,7400000.0,18400000.0,20.0,421.0,18500000.0,9100000.0,17500000.0,4100000.0, Rejected
60,4.0, Not Graduate, Yes,5500000.0,18200000.0,16.0,797.0,-100000.0,4900000.0,18600000.0,4800000.0, Approved
61,2.0, Not Graduate, No,8500000.0,18900000.0,18.0,478.0,23800000.0,16300000.0,25900000.0,11400000.0, Rejected
62,3.0, Not Graduate, Yes,9600000.0,30500000.0,18.0,669.0,4700000.0,1900000.0,26500000.0,9300000.0, Approved
63,5.0, Not Graduate, Yes,8800000.0,28900000.0,6.0,365.0,24400000.0,8600000.0,27400000.0,4700000.0, Rejected
64,3.0, Not Graduate, Yes,3300000.0,7500000.0,20.0,586.0,1600000.0,5600000.0,10500000.0,2900000.0, Approved
65,4.0, Graduate, Yes,3900000.0,12300000.0,18.0,784.0,7600000.0,6900000.0,13100000.0,2800000.0, Approved
66,1.0, Graduate, No,4100000.0,10300000.0,12.0,364.0,9500000.0,6100000.0,14900000.0,2800000.0, Rejected
67,3.0, Not Graduate, No,8300000.0,29100000.0,10.0,715.0,6100000.0,11900000.0,24100000.0,11900000.0, Approved
68,0.0, Not Graduate, Yes,2700000.0,10100000.0,20.0,693.0,200000.0,1700000.0,5900000.0,1400000.0, Rejected
69,4.0, Graduate, No,5600000.0,12400000.0,4.0,777.0,5500000.0,3100000.0,11800000.0,5500000.0, Approved
70,0.0, Graduate, No,1900000.0,5000000.0,12.0,312.0,4000000.0,2800000.0,4900000.0,2400000.0, Rejected
71,4.0, Not Graduate, Yes,500000.0,1500000.0,20.0,340.0,100000.0,200000.0,1900000.0,600000.0, Rejected
72,5.0, Graduate, Yes,5300000.0,18600000.0,4.0,386.0,2700000.0,9700000.0,11900000.0,4200000.0, Approved
73,5.0, Not Graduate, No,7000000.0,18300000.0,4.0,418.0,18400000.0,11700000.0,21500000.0,7600000.0, Rejected
74,3.0, Not Graduate, Yes,5800000.0,16700000.0,16.0,735.0,3900000.0,9400000.0,12600000.0,5600000.0, Approved
75,2.0, Not Graduate, No,2600000.0,8400000.0,6.0,494.0,6500000.0,3800000.0,5600000.0,2000000.0, Rejected
76,2.0, Not Graduate, No,1900000.0,6500000.0,18.0,671.0,600000.0,2500000.0,4800000.0,1100000.0, Approved
77,4.0, Graduate, No,5700000.0,14800000.0,16.0,697.0,14300000.0,7800000.0,12900000.0,6300000.0, Approved
78,0.0, Graduate, No,9000000.0,33500000.0,8.0,801.0,11600000.0,8900000.0,35400000.0,11100000.0, Approved
79,2.0, Not Graduate, No,8500000.0,29400000.0,12.0,576.0,17600000.0,5600000.0,25200000.0,9000000.0, Approved
80,0.0, Not Graduate, No,700000.0,1400000.0,14.0,639.0,1900000.0,700000.0,2400000.0,900000.0, Approved
81,4.0, Graduate, No,3500000.0,8900000.0,4.0,470.0,1300000.0,2200000.0,12300000.0,2000000.0, Rejected
82,0.0, Not Graduate, No,8800000.0,31200000.0,4.0,826.0,2900000.0,500000.0,33300000.0,8600000.0, Approved
83,2.0, Not Graduate, Yes,9900000.0,21200000.0,16.0,363.0,25500000.0,11400000.0,26600000.0,6800000.0, Rejected
84,3.0, Graduate, No,3600000.0,8600000.0,20.0,613.0,9400000.0,300000.0,10300000.0,3300000.0, Approved
85,3.0, Not Graduate, Yes,3000000.0,8200000.0,16.0,713.0,5300000.0,5800000.0,11000000.0,3400000.0, Approved
86,2.0, Graduate, No,6800000.0,21200000.0,16.0,439.0,17100000.0,4700000.0,23300000.0,3600000.0, Rejected
87,5.0, Not Graduate, Yes,1100000.0,3800000.0,18.0,387.0,1300000.0,1200000.0,3800000.0,1600000.0, Rejected
88,1.0, Not Graduate, Yes,8700000.0,28300000.0,8.0,402.0,20400000.0,13600000.0,27900000.0,10200000.0, Rejected
89,4.0, Graduate, Yes,2000000.0,8000000.0,6.0,837.0,5100000.0,2600000.0,3900000.0,2900000.0, Approved
90,2.0, Not Graduate, No,9800000.0,37600000.0,10.0,641.0,24100000.0,0.0,23400000.0,7600000.0, Approved
91,4.0, Graduate, No,5700000.0,21100000.0,18.0,489.0,500000.0,4300000.0,12500000.0,6000000.0, Rejected
92,4.0, Graduate, No,8800000.0,20700000.0,18.0,540.0,19200000.0,3200000.0,22400000.0,12700000.0, Rejected
93,4.0, Graduate, No,3800000.0,8900000.0,4.0,844.0,9100000.0,3500000.0,13100000.0,4700000.0, Approved
94,1.0, Graduate, No,1700000.0,6400000.0,10.0,452.0,900000.0,1100000.0,5600000.0,2100000.0, Rejected
95,2.0, Graduate, No,1000000.0,2000000.0,10.0,366.0,1200000.0,400000.0,3200000.0,1300000.0, Rejected
96,5.0, Graduate, No,300000.0,1100000.0,2.0,300.0,100000.0,500000.0,700000.0,400000.0, Approved
97,2.0, Graduate, Yes,6600000.0,15000000.0,18.0,470.0,1200000.0,4800000.0,18200000.0,7000000.0, Rejected
98,2.0, Not Graduate, No,8700000.0,25000000.0,20.0,861.0,14700000.0,8500000.0,23200000.0,7300000.0, Approved
99,4.0, Graduate, No,9400000.0,29400000.0,12.0,562.0,25900000.0,15200000.0,36400000.0,7100000.0, Approved
100,0.0, Graduate, No,4400000.0,10800000.0,14.0,463.0,2400000.0,4800000.0,13800000.0,4700000.0, Rejected
101,4.0, Not Graduate, No,400000.0,900000.0,12.0,478.0,700000.0,100000.0,1200000.0,100000.0, Rejected
102,2.0, Not Graduate, Yes,300000.0,1100000.0,2.0,702.0,300000.0,200000.0,500000.0,200000.0, Approved
103,2.0, Not Graduate, Yes,4300000.0,12900000.0,20.0,618.0,11400000.0,3600000.0,11400000.0,2400000.0, Approved
104,4.0, Graduate, No,1600000.0,4500000.0,12.0,633.0,700000.0,1700000.0,4100000.0,1900000.0, Approved
105,5.0, Not Graduate, Yes,6200000.0,23600000.0,10.0,331.0,18500000.0,10300000.0,23800000.0,8700000.0, Rejected
106,3.0, Not Graduate, Yes,4200000.0,9700000.0,16.0,841.0,7800000.0,300000.0,16700000.0,5100000.0, Approved
107,4.0, Not Graduate, Yes,9000000.0,18100000.0,12.0,764.0,600000.0,16500000.0,20800000.0,11600000.0, Approved
108,0.0, Graduate, No,2700000.0,10600000.0,6.0,591.0,1300000.0,2700000.0,9900000.0,1800000.0, Approved
109,1.0, Graduate, Yes,9700000.0,35900000.0,2.0,719.0,19600000.0,7600000.0,20400000.0,10900000.0, Approved
110,2.0, Graduate, No,3300000.0,6800000.0,14.0,317.0,3400000.0,300000.0,11700000.0,3600000.0, Rejected
111,0.0, Not Graduate, No,300000.0,1100000.0,8.0,778.0,800000.0,200000.0,900000.0,100000.0, Approved
112,3.0, Graduate, Yes,7400000.0,18200000.0,14.0,302.0,5600000.0,3100000.0,17900000.0,5000000.0, Rejected
113,5.0, Not Graduate, No,7100000.0,19700000.0,8.0,502.0,7300000.0,5600000.0,25300000.0,9800000.0, Rejected
114,5.0, Not Graduate, Yes,7300000.0,22100000.0,18.0,879.0,19500000.0,10600000.0,19300000.0,9800000.0, Approved
115,1.0, Not Graduate, No,8400000.0,23400000.0,14.0,437.0,15400000.0,5800000.0,33400000.0,8100000.0, Rejected
116,0.0, Not Graduate, Yes,3300000.0,10800000.0,12.0,797.0,600000.0,6000000.0,7700000.0,3300000.0, Approved
117,4.0, Not Graduate, Yes,5800000.0,23200000.0,18.0,456.0,16100000.0,4200000.0,22600000.0,7500000.0, Rejected
118,0.0, Not Graduate, No,600000.0,1600000.0,6.0,647.0,1500000.0,600000.0,1500000.0,700000.0, Approved
119,0.0, Not Graduate, No,7200000.0,15800000.0,12.0,379.0,12700000.0,12200000.0,21500000.0,3600000.0, Rejected
120,1.0, Not Graduate, Yes,9100000.0,32900000.0,2.0,717.0,2200000.0,2000000.0,23600000.0,5900000.0, Approved
121,5.0, Graduate, No,900000.0,2300000.0,16.0,545.0,100000.0,200000.0,2700000.0,800000.0, Rejected
122,2.0, Graduate, No,800000.0,3200000.0,8.0,317.0,300000.0,1000000.0,2000000.0,900000.0, Rejected
123,1.0, Not Graduate, No,8500000.0,32900000.0,10.0,570.0,5100000.0,6200000.0,20500000.0,5500000.0, Approved
124,0.0, Not Graduate, Yes,9000000.0,18700000.0,18.0,865.0,26800000.0,0.0,20900000.0,11300000.0, Approved
125,3.0, Graduate, No,7000000.0,19500000.0,14.0,719.0,12200000.0,10300000.0,18200000.0,10200000.0, Approved
126,3.0, Graduate, No,200000.0,600000.0,16.0,821.0,400000.0,100000.0,500000.0,100000.0, Approved
127,4.0, Not Graduate, Yes,400000.0,800000.0,10.0,859.0,900000.0,500000.0,800000.0,200000.0, Approved
128,3.0, Not Graduate, No,5100000.0,18200000.0,10.0,395.0,100000.0,8000000.0,15500000.0,6300000.0, Rejected
129,2.0, Not Graduate, Yes,700000.0,2600000.0,12.0,429.0,1600000.0,1300000.0,2700000.0,800000.0, Rejected
130,3.0, Graduate, No,400000.0,1200000.0,12.0,861.0,200000.0,600000.0,1100000.0,200000.0, Approved
131,0.0, Not Graduate, Yes,9500000.0,20800000.0,14.0,565.0,15100000.0,11900000.0,33900000.0,13400000.0, Approved
132,5.0, Graduate, No,8800000.0,22600000.0,10.0,357.0,7900000.0,8600000.0,18200000.0,4900000.0, Rejected
133,3.0, Not Graduate, Yes,1800000.0,3600000.0,18.0,465.0,600000.0,500000.0,5400000.0,2600000.0, Rejected
134,4.0, Not Graduate, Yes,6800000.0,13900000.0,8.0,479.0,11700000.0,9100000.0,25700000.0,9600000.0, Rejected
135,3.0, Not Graduate, No,1500000.0,5500000.0,16.0,717.0,2100000.0,800000.0,4400000.0,1300000.0, Approved
136,3.0, Graduate, No,1600000.0,5500000.0,12.0,425.0,600000.0,800000.0,5400000.0,900000.0, Rejected
137,2.0, Not Graduate, No,4600000.0,16700000.0,2.0,786.0,200000.0,5900000.0,13900000.0,6100000.0, Approved
138,5.0, Not Graduate, Yes,2200000.0,6700000.0,6.0,382.0,4400000.0,1300000.0,8600000.0,1100000.0, Rejected
139,3.0, Not Graduate, Yes,2900000.0,8500000.0,12.0,564.0,1000000.0,3100000.0,7500000.0,1800000.0, Approved
140,0.0, Graduate, No,200000.0,700000.0,8.0,501.0,500000.0,200000.0,700000.0,100000.0, Rejected
141,2.0, Not Graduate, Yes,2500000.0,9400000.0,10.0,727.0,6600000.0,4100000.0,9500000.0,3300000.0, Approved
142,4.0, Not Graduate, No,3600000.0,7500000.0,6.0,894.0,1100000.0,6500000.0,7400000.0,2800000.0, Approved
143,0.0, Graduate, Yes,5500000.0,16700000.0,18.0,829.0,5500000.0,1300000.0,12800000.0,5900000.0, Approved
144,4.0, Not Graduate, No,6600000.0,17400000.0,20.0,506.0,2600000.0,10000000.0,25900000.0,7200000.0, Rejected
145,2.0, Graduate, Yes,8600000.0,32100000.0,6.0,802.0,9400000.0,16700000.0,24500000.0,9800000.0, Approved
146,5.0, Not Graduate, No,600000.0,1500000.0,14.0,543.0,300000.0,900000.0,2100000.0,300000.0, Rejected
147,3.0, Graduate, Yes,1400000.0,3200000.0,20.0,772.0,2400000.0,900000.0,5100000.0,1600000.0, Approved
148,3.0, Graduate, No,4000000.0,11100000.0,12.0,572.0,9700000.0,100000.0,12500000.0,2400000.0, Approved
149,0.0, Not Graduate, Yes,4900000.0,11900000.0,16.0,709.0,14600000.0,900000.0,18500000.0,3800000.0, Approved
150,5.0, Graduate, No,2000000.0,6200000.0,18.0,402.0,4000000.0,2100000.0,7200000.0,1100000.0, Rejected
151,1.0, Not Graduate, Yes,5200000.0,19300000.0,8.0,481.0,14300000.0,9500000.0,18800000.0,4200000.0, Rejected
152,5.0, Graduate, Yes,8900000.0,28800000.0,6.0,772.0,13600000.0,5500000.0,20400000.0,8400000.0, Approved
153,1.0, Graduate, Yes,6500000.0,20600000.0,2.0,306.0,15900000.0,1900000.0,18100000.0,3200000.0, Approved
154,2.0, Not Graduate, No,1300000.0,4500000.0,6.0,415.0,0.0,900000.0,2900000.0,1200000.0, Rejected
155,3.0, Not Graduate, No,9400000.0,35000000.0,16.0,548.0,18200000.0,4400000.0,36100000.0,4800000.0, Rejected
156,5.0, Not Graduate, No,5000000.0,11200000.0,8.0,701.0,9100000.0,500000.0,14000000.0,4600000.0, Approved
157,2.0, Graduate, No,3000000.0,7700000.0,12.0,890.0,4700000.0,4300000.0,8400000.0,2100000.0, Approved
158,5.0, Not Graduate, Yes,9900000.0,33300000.0,6.0,364.0,5300000.0,18700000.0,27800000.0,8300000.0, Rejected
159,5.0, Graduate, Yes,700000.0,1300000.0,20.0,704.0,1600000.0,0.0,2200000.0,600000.0, Approved
160,3.0, Graduate, Yes,4000000.0,10600000.0,10.0,318.0,1500000.0,5100000.0,8000000.0,4900000.0, Rejected
161,5.0, Not Graduate, No,3100000.0,9600000.0,2.0,761.0,5800000.0,1800000.0,10400000.0,4200000.0, Approved
162,4.0, Not Graduate, No,4500000.0,15100000.0,6.0,693.0,3700000.0,1500000.0,17800000.0,6000000.0, Approved
163,3.0, Not Graduate, No,9700000.0,20600000.0,16.0,524.0,24200000.0,11100000.0,27400000.0,6100000.0, Rejected
164,2.0, Not Graduate, Yes,2000000.0,5300000.0,10.0,681.0,4900000.0,1400000.0,4300000.0,2900000.0, Approved
165,2.0, Graduate, Yes,8100000.0,22300000.0,18.0,737.0,22300000.0,12600000.0,27000000.0,7300000.0, Approved
166,0.0, Not Graduate, No,5700000.0,15900000.0,16.0,638.0,100000.0,9500000.0,16300000.0,4500000.0, Approved
167,4.0, Not Graduate, No,5800000.0,12800000.0,2.0,656.0,500000.0,5000000.0,16000000.0,2800000.0, Approved
168,1.0, Graduate, No,1800000.0,6500000.0,6.0,540.0,2500000.0,3200000.0,5000000.0,1100000.0, Rejected
169,4.0, Not Graduate, Yes,9100000.0,35200000.0,6.0,341.0,1000000.0,300000.0,23100000.0,8200000.0, Rejected
170,0.0, Not Graduate, Yes,4800000.0,17500000.0,2.0,371.0,11700000.0,6800000.0,18700000.0,3500000.0, Approved
171,3.0, Not Graduate, Yes,3800000.0,10500000.0,12.0,886.0,4000000.0,500000.0,14900000.0,2300000.0, Approved
172,0.0, Not Graduate, No,1900000.0,4100000.0,18.0,801.0,400000.0,800000.0,4800000.0,1200000.0, Approved
173,3.0, Not Graduate, Yes,3600000.0,9500000.0,16.0,748.0,7700000.0,2400000.0,9700000.0,2600000.0, Approved
174,2.0, Not Graduate, Yes,7400000.0,28200000.0,8.0,376.0,21900000.0,5000000.0,17400000.0,5200000.0, Rejected
175,4.0, Not Graduate, Yes,6600000.0,14300000.0,8.0,371.0,10800000.0,9500000.0,18500000.0,7400000.0, Rejected
176,2.0, Graduate, No,1800000.0,5300000.0,6.0,826.0,4500000.0,700000.0,6500000.0,1300000.0, Approved
177,4.0, Not Graduate, No,9200000.0,27200000.0,12.0,873.0,4500000.0,1800000.0,33800000.0,11400000.0, Approved
178,5.0, Not Graduate, Yes,2400000.0,8600000.0,8.0,309.0,500000.0,600000.0,5700000.0,2800000.0, Rejected
179,4.0, Not Graduate, No,5600000.0,13300000.0,20.0,869.0,3300000.0,7500000.0,20000000.0,6500000.0, Approved
180,5.0, Graduate, No,3800000.0,13900000.0,12.0,534.0,4700000.0,2900000.0,8200000.0,2800000.0, Rejected
181,3.0, Not Graduate, Yes,4500000.0,17900000.0,6.0,787.0,9800000.0,3600000.0,14300000.0,4200000.0, Approved
182,0.0, Graduate, Yes,900000.0,2200000.0,16.0,566.0,100000.0,700000.0,2000000.0,600000.0, Approved
183,0.0, Not Graduate, No,2800000.0,9900000.0,8.0,742.0,4900000.0,1300000.0,6700000.0,1700000.0, Approved
184,2.0, Not Graduate, No,7500000.0,23100000.0,4.0,824.0,12100000.0,10900000.0,26300000.0,9500000.0, Approved
185,4.0, Graduate, No,1400000.0,3100000.0,14.0,575.0,3000000.0,2100000.0,4900000.0,1400000.0, Approved
186,2.0, Graduate, Yes,3800000.0,10900000.0,10.0,766.0,1900000.0,3900000.0,8600000.0,3000000.0, Approved
187,1.0, Not Graduate, Yes,1700000.0,5000000.0,10.0,888.0,2900000.0,900000.0,4100000.0,2200000.0, Approved
188,3.0, Graduate, Yes,9000000.0,30400000.0,6.0,638.0,16800000.0,11000000.0,26900000.0,9200000.0, Approved
189,5.0, Not Graduate, Yes,7300000.0,23300000.0,6.0,622.0,7100000.0,11600000.0,26400000.0,10500000.0, Approved
190,1.0, Not Graduate, No,7400000.0,19800000.0,18.0,458.0,12600000.0,6200000.0,27700000.0,4000000.0, Rejected
191,1.0, Not Graduate, No,9000000.0,28200000.0,16.0,327.0,1700000.0,2300000.0,24000000.0,11200000.0, Rejected
192,0.0, Not Graduate, No,3000000.0,6500000.0,2.0,612.0,8800000.0,3400000.0,6700000.0,1700000.0, Approved
193,1.0, Graduate, No,800000.0,2900000.0,8.0,682.0,2200000.0,1100000.0,2900000.0,700000.0, Approved
194,2.0, Graduate, No,4800000.0,13200000.0,2.0,583.0,13700000.0,5800000.0,9500000.0,5200000.0, Approved
195,5.0, Not Graduate, No,6400000.0,18300000.0,8.0,697.0,10000000.0,3600000.0,22500000.0,3600000.0, Approved
196,3.0, Graduate, No,9200000.0,27100000.0,12.0,306.0,5800000.0,11500000.0,28000000.0,9600000.0, Rejected
197,4.0, Not Graduate, Yes,400000.0,1500000.0,2.0,669.0,-100000.0,600000.0,900000.0,500000.0, Approved
198,2.0, Not Graduate, No,2800000.0,6000000.0,18.0,816.0,6300000.0,4200000.0,8000000.0,3400000.0, Approved
199,4.0, Not Graduate, Yes,8500000.0,28900000.0,20.0,455.0,15200000.0,5800000.0,22500000.0,9400000.0, Rejected
200,3.0, Graduate, Yes,4700000.0,16400000.0,10.0,318.0,11400000.0,8100000.0,16200000.0,4300000.0, Rejected
201,4.0, Not Graduate, Yes,9800000.0,21200000.0,20.0,355.0,22000000.0,8900000.0,31800000.0,14400000.0, Rejected
202,2.0, Not Graduate, Yes,3800000.0,8900000.0,16.0,389.0,200000.0,5600000.0,12200000.0,2200000.0, Rejected
203,2.0, Graduate, No,500000.0,1500000.0,2.0,888.0,1500000.0,300000.0,1500000.0,600000.0, Approved
204,2.0, Graduate, Yes,6900000.0,15600000.0,6.0,352.0,13000000.0,5300000.0,22600000.0,10000000.0, Rejected
205,4.0, Not Graduate, Yes,9600000.0,30100000.0,12.0,870.0,300000.0,6700000.0,38200000.0,5600000.0, Approved
206,3.0, Not Graduate, No,2900000.0,6500000.0,18.0,827.0,8300000.0,600000.0,10400000.0,3200000.0, Approved
207,2.0, Graduate, No,9800000.0,20900000.0,12.0,768.0,3400000.0,10200000.0,38600000.0,13400000.0, Approved
208,0.0, Graduate, No,7100000.0,15400000.0,18.0,707.0,10300000.0,10800000.0,19600000.0,5800000.0, Approved
209,1.0, Not Graduate, Yes,7700000.0,19100000.0,10.0,355.0,11300000.0,4900000.0,21900000.0,6600000.0, Rejected
210,3.0, Graduate, No,1400000.0,3300000.0,2.0,652.0,100000.0,2100000.0,3500000.0,1900000.0, Approved
211,3.0, Graduate, No,7800000.0,15900000.0,2.0,665.0,14400000.0,900000.0,27200000.0,5400000.0, Approved
212,5.0, Not Graduate, Yes,1700000.0,6000000.0,18.0,420.0,500000.0,1600000.0,3700000.0,2300000.0, Rejected
213,2.0, Not Graduate, No,8500000.0,32700000.0,18.0,471.0,12600000.0,9400000.0,33900000.0,12500000.0, Rejected
214,5.0, Not Graduate, No,1900000.0,7500000.0,20.0,715.0,5100000.0,2800000.0,6500000.0,2800000.0, Approved
215,2.0, Not Graduate, Yes,6700000.0,15200000.0,10.0,689.0,0.0,8200000.0,15000000.0,6800000.0, Approved
216,3.0, Graduate, Yes,6900000.0,16400000.0,4.0,787.0,11100000.0,6100000.0,26400000.0,3800000.0, Approved
217,2.0, Graduate, No,2600000.0,7800000.0,4.0,819.0,3100000.0,4300000.0,5700000.0,1500000.0, Approved
218,4.0, Graduate, Yes,9600000.0,21100000.0,6.0,809.0,16100000.0,9500000.0,34700000.0,8700000.0, Approved
219,1.0, Not Graduate, Yes,6800000.0,17000000.0,2.0,744.0,15500000.0,3900000.0,23700000.0,3500000.0, Approved
220,0.0, Not Graduate, No,3200000.0,11300000.0,6.0,484.0,3500000.0,5500000.0,8500000.0,2100000.0, Rejected
